premise,premise_en,hypothesis,hypothesis_en,ground_truth,label_en,predicted_label,correct,language,runtime_seconds,samples_processed,runtime_per_sample,temperature,max_new_tokens,do_sample,translation_temperature,premise_translation_quality,hypothesis_translation_quality,avg_translation_quality
"(It has been said, not altogether jokingly, that if the Japanese were required to pay a license fee for every English word they used, their trade surplus would vanish.)","(It has been said, not altogether jokingly, that if the Japanese were required to pay a license fee for every English word they used, their trade surplus would vanish.)",Proper nouns are often overused when translating to English from foreign languages.,Proper nouns are often overused when translating to English from foreign languages.,neutral,neutral,neutral,True,en,53.38005065917969,100,0.5338005065917969,0.3,20,False,0.3,1.0,1.0,1.0
"Unfortunately, our view of the importance of philanthropy is not shared by all Americans.","Unfortunately, our view of the importance of philanthropy is not shared by all Americans.",Not all Americans think it's important to support churches.,Not all Americans think it's important to support churches.,neutral,neutral,neutral,True,en,53.38005065917969,100,0.5338005065917969,0.3,20,False,0.3,1.0,1.0,1.0
"Built in a.d. 688-691, it is decorated in thousands of exquisite, predominantly blue and yellow, Persian ceramic tiles, with Koranic scriptures on the lintels.","Built in a.d. 688-691, it is decorated in thousands of exquisite, predominantly blue and yellow, Persian ceramic tiles, with Koranic scriptures on the lintels.",The walls have 100000 tiles on them.,The walls have 100000 tiles on them.,neutral,neutral,neutral,True,en,53.38005065917969,100,0.5338005065917969,0.3,20,False,0.3,1.0,1.0,1.0
"If we begin our new fiscal year with a deficit, this will be a real challenge.","If we begin our new fiscal year with a deficit, this will be a real challenge.",Starting a new fiscal year has no effect on business.,Starting a new fiscal year has no effect on business.,contradiction,contradiction,contradiction,True,en,53.38005065917969,100,0.5338005065917969,0.3,20,False,0.3,1.0,1.0,1.0
"The naturalistic  pursuit of happiness,  celebrated in the Declaration, gives way to the quintessential creature of the law's definition'property.","The naturalistic  pursuit of happiness,  celebrated in the Declaration, gives way to the quintessential creature of the law's definition'property.",The Declaration says you should pursue wealth.,The Declaration says you should pursue wealth.,contradiction,neutral,neutral,False,en,53.38005065917969,100,0.5338005065917969,0.3,20,False,0.3,1.0,1.0,1.0
"When that occurs, the lending fund sacrifices interest from Treasury securities on its invested balances and instead receives interest from the borrowing fund on the amount of the loan.","When that occurs, the lending fund sacrifices interest from Treasury securities on its invested balances and instead receives interest from the borrowing fund on the amount of the loan.",The lending fund doesn't get all the interest in some cases.,The lending fund doesn't get all the interest in some cases.,entailment,entailment,entailment,True,en,53.38005065917969,100,0.5338005065917969,0.3,20,False,0.3,1.0,1.0,1.0
"And it was, he never really had to do anything for himself.","And it was, he never really had to do anything for himself.",He gets a lot of help.,He gets a lot of help.,entailment,neutral,neutral,False,en,53.38005065917969,100,0.5338005065917969,0.3,20,False,0.3,1.0,1.0,1.0
"there, click Actress. You should find yourself...","there, click Actress. You should find yourself...",You are listed under Actress.,You are listed under Actress.,entailment,neutral,neutral,False,en,53.38005065917969,100,0.5338005065917969,0.3,20,False,0.3,1.0,1.0,1.0
"On a ranch you might hear someone say,  Today we've got to cut those penned steers,  meaning perhaps `separate out the ones to be shipped.","On a ranch you might hear someone say,  Today we've got to cut those penned steers,  meaning perhaps `separate out the ones to be shipped.",People struggle with the lingo on the ranch.,People struggle with the lingo on the ranch.,neutral,neutral,neutral,True,en,53.38005065917969,100,0.5338005065917969,0.3,20,False,0.3,1.0,1.0,1.0
"Today's question reminds me of the one and only time I went to the Radio City Music Hall Christmas Pageant, at which, among other things, they offer something called the Living Nativity.","Today's question reminds me of the one and only time I went to the Radio City Music Hall Christmas Pageant, at which, among other things, they offer something called the Living Nativity.",I was 12 when I went to see the living nativity.,I was 12 when I went to see the living nativity.,neutral,neutral,neutral,True,en,53.38005065917969,100,0.5338005065917969,0.3,20,False,0.3,1.0,1.0,1.0
Indoor skating is available at the Ditan Ice Arena in Ditan Park and at the underground shopping center connecting the Traders and China World hotels (1 Jianguomenwai Dajie).,Indoor skating is available at the Ditan Ice Arena in Ditan Park and at the underground shopping center connecting the Traders and China World hotels (1 Jianguomenwai Dajie).,You can skate indoor in a couple of places.,You can skate indoor in a couple of places.,entailment,entailment,entailment,True,en,53.38005065917969,100,0.5338005065917969,0.3,20,False,0.3,1.0,1.0,1.0
Postal Service more vulnerable than other postal administrations to cream skimming.,Postal Service more vulnerable than other postal administrations to cream skimming.,The Postal Service does not need to be concerned with cream skimming.,The Postal Service does not need to be concerned with cream skimming.,contradiction,contradiction,contradiction,True,en,53.38005065917969,100,0.5338005065917969,0.3,20,False,0.3,1.0,1.0,1.0
"But now Maxwell enters and invents a  wee creature,  later dubbed Maxwell's demon.","But now Maxwell enters and invents a  wee creature,  later dubbed Maxwell's demon.",Maxwell hated himself for creating that wee creature.,Maxwell hated himself for creating that wee creature.,neutral,neutral,neutral,True,en,53.38005065917969,100,0.5338005065917969,0.3,20,False,0.3,1.0,1.0,1.0
"If the product included more new content or invention, fully integrated prototypes were frequently used to demonstrate that the design met requirements.","If the product included more new content or invention, fully integrated prototypes were frequently used to demonstrate that the design met requirements.",The use of prototypes is almost unheard of for demonstrating design requirements.,The use of prototypes is almost unheard of for demonstrating design requirements.,contradiction,contradiction,contradiction,True,en,53.38005065917969,100,0.5338005065917969,0.3,20,False,0.3,1.0,1.0,1.0
"My uncle, he's a great guy.","My uncle, he's a great guy.",I like my uncle a lot.,I like my uncle a lot.,entailment,neutral,neutral,False,en,53.38005065917969,100,0.5338005065917969,0.3,20,False,0.3,1.0,1.0,1.0
You'll see videos of Anne's story and of Amsterdam under occupation along with photographs and artifacts of the time.,You'll see videos of Anne's story and of Amsterdam under occupation along with photographs and artifacts of the time.,You will see photographs.,You will see photographs.,entailment,entailment,entailment,True,en,53.38005065917969,100,0.5338005065917969,0.3,20,False,0.3,1.0,1.0,1.0
"It was from a airbase that flew over Cuba, and of course Rudolph Anderson was shot down.","It was from a airbase that flew over Cuba, and of course Rudolph Anderson was shot down.",Something was shot down over Cuba.,Something was shot down over Cuba.,entailment,entailment,entailment,True,en,53.38005065917969,100,0.5338005065917969,0.3,20,False,0.3,1.0,1.0,1.0
The group meets monthly to discuss the status of previously discussed and/or implemented initiatives and to propose and discuss current problems and potential initiatives.,The group meets monthly to discuss the status of previously discussed and/or implemented initiatives and to propose and discuss current problems and potential initiatives.,The group only met twice a year.,The group only met twice a year.,contradiction,contradiction,contradiction,True,en,53.38005065917969,100,0.5338005065917969,0.3,20,False,0.3,1.0,1.0,1.0
"Then el abuelo would say,  Pues que recen y se acuesten  (Well, let them pray and go to bed).","Then el abuelo would say,  Pues que recen y se acuesten  (Well, let them pray and go to bed).",We were supposed to pray before we slept.,We were supposed to pray before we slept.,entailment,entailment,entailment,True,en,53.38005065917969,100,0.5338005065917969,0.3,20,False,0.3,1.0,1.0,1.0
um they're pretty neat they're kind of a a a blue grass country uh they're real fun i mean they're,um they're pretty neat they're kind of a a a blue grass country uh they're real fun i mean they're,They have been a band for two years.,They have been a band for two years.,neutral,neutral,neutral,True,en,53.38005065917969,100,0.5338005065917969,0.3,20,False,0.3,1.0,1.0,1.0
"More  The Anti-Defamation League's survey describes a continuing drop in America's hard core anti-Semites--from 29 percent in 1964, to 20 percent in 1992, to 12 percent currently.","More  The Anti-Defamation League's survey describes a continuing drop in America's hard core anti-Semites--from 29 percent in 1964, to 20 percent in 1992, to 12 percent currently.",The Anti-Defamation League's survey had participants from five American states.,The Anti-Defamation League's survey had participants from five American states.,neutral,neutral,neutral,True,en,53.38005065917969,100,0.5338005065917969,0.3,20,False,0.3,1.0,1.0,1.0
