premise_lrl,hypothesis_lrl,original_gt_label_int,ground_truth_eng_label_str,premise_en,hypothesis_en,predicted_english_label_model_intermediate,predicted_lrl_label_model_raw,predicted_label_for_accuracy,raw_premise_translation_response,raw_hypothesis_translation_response,raw_nli_response,runtime_seconds,error_message
Our initial observations suggest that GPRA performance reports are likely to be more useful if they,The usefulness of GPRA reports might be increased.,0,entailment,Our initial observations suggest that GPRA performance reports are likely to be more useful if they,The usefulness of GPRA reports might be increased.,entailment,entailment,entailment,Our initial observations suggest that GPRA performance reports are likely to be more useful if they,The usefulness of GPRA reports might be increased.,entailment,0.24347972869873047,
"I assure you, sir, that I was fully informed of all.",It is the detective's death that I was informed about.,1,neutral,"I assure you, sir, that I was fully informed of all.",It is the detective's death that I was informed about.,contradiction,contradiction,contradiction,"I assure you, sir, that I was fully informed of all.",It is the detective's death that I was informed about.,contradiction,0.39719629287719727,
"He was born in 1880 something, like 188, I think it was 1889, I think it was when he was born.",He wasn't born until 1984.,2,contradiction,"He was born in 1880 something, like 188, I think it was 1889, I think it was when he was born.",He wasn't born until 1984.,contradiction,contradiction,contradiction,"He was born in 1880 something, like 188, I think it was 1889, I think it was when he was born.",He wasn't born until 1984.,contradiction,0.5222558975219727,
"H. H. Richardson and his protege Charles Follen McKim were alumni, as well as McKim's assistants, John M. Carrare and Thomas Hastings.","H. H. Richardson, Charles Follen McKim, John M. Carrare and Thomas Hastings were all alumni.",0,entailment,"H. H. Richardson and his protege Charles Follen McKim were alumni, as well as McKim's assistants, John M. Carrare and Thomas Hastings.","H. H. Richardson, Charles Follen McKim, John M. Carrare and Thomas Hastings were all alumni.",entailment,entailment,entailment,"H. H. Richardson and his protege Charles Follen McKim were alumni, as well as McKim's assistants, John M. Carrare and Thomas Hastings.","H. H. Richardson, Charles Follen McKim, John M. Carrare and Thomas Hastings were all alumni.",entailment,0.280820369720459,
men um free of the charge one guy went in stabbed his ex-wife to death because she was sleeping with another guy i mean ex-wife you know we're talking and,A man killed his ex wife for sleeping with another guy after being freed from a prior charge.,0,entailment,men um free of the charge one guy went in stabbed his ex-wife to death because she was sleeping with another guy i mean ex-wife you know we're talking and,A man killed his ex wife for sleeping with another guy after being freed from a prior charge.,contradiction,contradiction,contradiction,men um free of the charge one guy went in stabbed his ex-wife to death because she was sleeping with another guy i mean ex-wife you know we're talking and,A man killed his ex wife for sleeping with another guy after being freed from a prior charge.,contradiction,0.42170238494873047,
"And I had put uh, five detachments out of U2's.",I worked with the detachments for the U2's every day for forty years.,1,neutral,"And I had put uh, five detachments out of U2's.",I worked with the detachments for the U2's every day for forty years.,contradiction,contradiction,contradiction,"And I had put uh, five detachments out of U2's.",I worked with the detachments for the U2's every day for forty years.,contradiction,0.38373732566833496,
"Napoleon attacked and destroyed Catalonia's sacred shrine, the monastery at Montserrat.",Napoleon was responsible for the destruction of the monastery at Montserrat.,0,entailment,"Napoleon attacked and destroyed Catalonia's sacred shrine, the monastery at Montserrat.",Napoleon was responsible for the destruction of the monastery at Montserrat.,entailment,entailment,entailment,"Napoleon attacked and destroyed Catalonia's sacred shrine, the monastery at Montserrat.",Napoleon was responsible for the destruction of the monastery at Montserrat.,entailment,0.31471896171569824,
oh i see well i like the atmosphere myself,I do like the vibe myself.,0,entailment,oh i see well i like the atmosphere myself,I do like the vibe myself.,entailment,entailment,entailment,oh i see well i like the atmosphere myself,I do like the vibe myself.,entailment,0.23425817489624023,
I shall always be grateful.,I am so happy and grateful for what you have done today.,1,neutral,I shall always be grateful.,I am so happy and grateful for what you have done today.,neutral,neutral,neutral,I shall always be grateful.,I am so happy and grateful for what you have done today.,neutral,0.3054981231689453,
"It is, of course, rather radical to suppose that there is quantum uncertainty in the law, but it does not seem obviously impossible.",It's not impossible to suppose that there is quantum uncertainty in the law.,0,entailment,"It is, of course, rather radical to suppose that there is quantum uncertainty in the law, but it does not seem obviously impossible.",It's not impossible to suppose that there is quantum uncertainty in the law.,contradiction,contradiction,contradiction,"It is, of course, rather radical to suppose that there is quantum uncertainty in the law, but it does not seem obviously impossible.",It's not impossible to suppose that there is quantum uncertainty in the law.,contradiction,0.3558206558227539,
and that's a lot of it is due to the fact that the mothers are on drugs,The mothers are drug addicts.,1,neutral,and that's a lot of it is due to the fact that the mothers are on drugs,The mothers are drug addicts.,entailment,entailment,entailment,and that's a lot of it is due to the fact that the mothers are on drugs,The mothers are drug addicts.,entailment,0.2827591896057129,
"To suppress the image of homosexuality as a vice, Clinton and Birch attribute civic virtues to gays.",Clinton and Birch are homosexuals.,1,neutral,"To suppress the image of homosexuality as a vice, Clinton and Birch attribute civic virtues to gays.",Clinton and Birch are homosexuals.,contradiction,contradiction,contradiction,"To suppress the image of homosexuality as a vice, Clinton and Birch attribute civic virtues to gays.",Clinton and Birch are homosexuals.,contradiction,0.3834953308105469,
"Then I get it and I'm like great, What do I do with it?",I don't know how I was supposed to use the contraption.,1,neutral,"Then I get it and I'm like great, What do I do with it?",I don't know how I was supposed to use the contraption.,contradiction,contradiction,contradiction,"Then I get it and I'm like great, What do I do with it?",I don't know how I was supposed to use the contraption.,contradiction,0.34201884269714355,
Samuel Sheinbein will serve a murder sentence in Israel.,Samuel Sheinbein will serve a murder sentence in Canada.,2,contradiction,Samuel Sheinbein will serve a murder sentence in Israel.,Samuel Sheinbein will serve a murder sentence in Canada.,contradiction,contradiction,contradiction,Samuel Sheinbein will serve a murder sentence in Israel.,Samuel Sheinbein will serve a murder sentence in Canada.,contradiction,0.40660524368286133,
"(It has been said, not altogether jokingly, that if the Japanese were required to pay a license fee for every English word they used, their trade surplus would vanish.)",Proper nouns are often overused when translating to English from foreign languages.,1,neutral,"(It has been said, not altogether jokingly, that if the Japanese were required to pay a license fee for every English word they used, their trade surplus would vanish.)",Proper nouns are often overused when translating to English from foreign languages.,contradiction,contradiction,contradiction,"(It has been said, not altogether jokingly, that if the Japanese were required to pay a license fee for every English word they used, their trade surplus would vanish.)",Proper nouns are often overused when translating to English from foreign languages.,contradiction,0.49138522148132324,
